department,job,timeclass,startdate,hourly_wage,regular_pay,overtime_pay,other_pay,total_pay,reg_hours,overtime_hours,total_hours
Parks and Recreation,Recreation Instructor,P,11/3/2008,17.97,21337.06,2041.6,75.6,23454.26,22.834061041907454,1.4565586518841944,24.290619693791648
Water Services,Environmental Quality Spec,F,7/15/2019,30.34,60281.44,0,0,60281.44,38.20891435525582,0,38.20891435525582
Water Services,Support Services Aide,F,5/8/2017,20.55,40835.56,0,0,40835.56,38.21407448998689,0,38.21407448998689
Fire,Firefighter 56hr,F,3/14/2016,20.48,57402.83,13487.85,5999.71,76890.39000000001,53.90139535757211,8.44341571514423,62.34481107271634
Police,Police Officer,F,4/5/1999,37.79,77606.4,23727.91,7858.61,109192.92,39.49274329798278,8.049853780338035,47.54259707832081
Fire,Senior GIS Technician,F,11/4/2019,24.89,49598.8,609.16,75,50282.96000000001,38.321537843434186,0.31377033305518637,38.635308176489374
Police,Police Officer,F,8/28/2017,30.04,59727.9,6910.67,2344.53,68983.1,38.236133872785004,2.9493453173546382,41.185479190139645
Street Transportation,GIS Technician,F,5/23/2016,31.71,64094.8,0,75,64169.8,38.8707760230939,0,38.8707760230939
Police,Police Officer,F,7/24/1992,37.79,77606.4,38438.21,8333.13,124377.73999999999,39.49274329798278,13.040422442512941,52.53316574049572
Fire,Fire Captain 56hr,F,5/27/2002,31.26,90236.77,22504.75,8531.42,121272.94,55.512555982085736,9.229764424102235,64.74232040618797
Fire,Fire Engineer 56hr,F,5/27/2002,28.14,73190.49,21997.69,7554.63,102742.81000000001,50.018103165491226,10.022091921345652,60.040195086836874
Parks and Recreation,Pool Manager,P,4/20/1990,18.74,4668.78,0,75,4743.78,4.791047533043264,0,4.791047533043264
Fire,Firefighter 56hr,F,5/1/2000,24.48,74452.72,6914.13,6642.54,88009.39,58.48787078934137,3.62102501256913,62.1088958019105
Police,Police Officer,F,11/3/1997,37.79,77606.4,11749.67,6095.56,95451.62999999999,39.49274329798278,3.986154931775466,43.478898229758244
Fire,Firefighter 56hr,F,1/7/2013,26.98,79251.14,15876.54,4037.29,99164.96999999999,56.48852426298683,7.544306323772596,64.03283058675943
Street Transportation,Senior Construction Insp,F,9/20/1999,34.99,71872,19158.78,3313.08,94343.86,39.501396003253674,7.019873810099588,46.521269813353264
Street Transportation,Traffic Signal Technician,F,1/15/2007,30.6,57757.9,0,2126.36,59884.26,36.298328305681245,0,36.298328305681245
Public Works,Heavy Equip Mech,F,10/31/1988,30.6,62852.8,1888.82,8929.68,73671.3,39.50025138260432,0.7913608178314059,40.29161220043572
Parks and Recreation,Recreation Coordinator II,F,5/17/1999,32.56,69004.64,0,4020.46,73025.1,40.755906255906254,0,40.755906255906254
Fire,Fire Engineer 56hr,F,12/25/2000,29.24,84410.36,5059.82,6215.11,95685.29,55.51560033673577,2.2185187133887543,57.73411905012453
Police,Police Officer,F,3/28/2016,34.27,69598.4,12249.97,1305.11,83153.48,39.05546452380417,4.582751603031731,43.6382161268359
Parks and Recreation,Pool Manager,P,5/9/2005,18.74,2125.96,0,0,2125.96,2.181635333716444,0,2.181635333716444
Parks and Recreation,Recreation Instructor,P,11/29/2021,15.55,723.85,0,0,723.85,0.8951892159287657,0,0.8951892159287657
Fire,Fire Captain 56hr,F,4/11/2005,33.55,96578.48,63783,1809.87,162171.34999999998,55.35852344376935,24.37349535710192,79.73201880087127
Police,Police Officer,F,12/8/1995,37.79,77606.4,0,5545.36,83151.76,39.49274329798278,0,39.49274329798278
Fire,Fire Engineer 56hr,F,6/19/2006,26.95,77802.61,12399.23,2560.42,92762.26,55.517775082060794,5.898496741353885,61.416271823414675
Police,Police Officer,F,5/12/2003,37.79,77606.4,286.46,3416.15,81309.01,39.49274329798278,0.09718349040921148,39.58992678839199
Fire,Fire Batt Chf*Deputy,F,10/1/1988,62.99,127646.08,0,28585.22,156231.3,38.9701906285491,0,38.9701906285491
Police,Police Officer,F,2/25/2008,37.79,77606.4,5698.73,2686.49,85991.62,39.49274329798278,1.9333326548198204,41.4260759528026
Aviation,Aviation Superintendent,F,7/2/2018,37.14,67601.2,920.22,2190.7,70712.12,35.0033138643801,0.31765461248498406,35.32096847686508
Planning & Development,Structural Inspector II*Ind/PR,F,6/24/2002,40.19,82889.6,0,15967.14,98856.74,39.66237295921298,0,39.66237295921298
Aviation,Building Maint Worker*U2,F,2/26/2007,28.31,58145.6,0,5523.56,63669.159999999996,39.497867021710185,0,39.497867021710185
Police,Police Officer,F,2/11/2008,37.79,77536.29,1593.82,3391.64,82521.75,39.457065361206666,0.5407142033233592,39.99777956453003
Fire,Equipment Repair Spec,F,2/4/2013,30.6,62852.8,28804.85,6015.57,97673.22,39.50025138260432,12.068397016926427,51.568648399530744
Water Services,Senior Utility Technician,F,7/7/2003,28.31,46939.95,291.96,250.16,47482.07,31.885953590739884,0.1322174822704671,32.01817107301035
Parks and Recreation,Equipment Op II*Gangmower Op,F,3/18/2002,23.55,45456.11,3319.72,1466.58,50242.41,37.119149109913444,1.8072404594697586,38.926389569383204
Parks and Recreation,Equipment Op II,F,7/2/2018,18.47,20362.43,0,0,20362.43,21.201147390779226,0,21.201147390779226
Fire,Secretary III,F,12/10/2001,25.37,52209.6,813.48,2875,55898.08,39.57551317425184,0.4110851702495376,39.986598344501374
Parks and Recreation,Groundskeeper,F,12/16/2019,16.75,25261.89,0,0,25261.89,29.00331802525832,0,29.00331802525832
Municipal Court,Human Resources Analyst*Court,F,1/30/2006,34.2,70374.4,0,3241.14,73615.54,39.571749887539355,0,39.571749887539355
Police,Police Sergeant,F,3/29/2004,46.09,94228.8,33453.19,12076.38,139758.37,39.316387669609625,9.305425282752251,48.62181295236188
Water Services,Asst Customer Svcs Adm,F,1/16/2017,46.21,94718,0,0,94718,39.41787491884873,0,39.41787491884873
Water Services,Water Meter Reader,F,5/20/2019,19.59,38624.64,0,75,38699.64,37.916362351278124,0,37.916362351278124
Fire,Firefighter 56hr,F,2/27/2017,22.61,65495.76,18253.88,2924.51,86674.15,55.70693702582248,10.350468932512277,66.05740595833475
Fire,Firefighter 56hr,F,12/21/2015,23.79,71384.12,21164.95,129.75,92678.81999999999,57.703721667151676,11.405864347226263,69.10958601437794
Public Works,Landfill Equipment Operator,F,1/29/2007,27.8,57107.2,7626.04,952.2,65685.44,39.50415052573325,3.5168972514296253,43.02104777716288
Police,Police Officer,F,2/27/2017,31.75,64990.76,6028.95,4897.42,75917.13,39.36448213204119,2.4344639612356147,41.798946093276804
Police,Police Officer,F,3/28/2016,34.27,69681.43,5220.36,2596.86,77498.65,39.10205719288006,1.9529527956723753,41.055009988552435
Police,Police Sergeant,F,10/15/2001,43.89,89595.9,11301.48,4876.66,105774.04,39.25719017824281,3.3012250906987743,42.55841526894158
Police,Police Officer,F,6/17/2019,26.82,53809.92,1790.16,2326.38,57926.46,38.583376355188435,0.855733379223312,39.439109734411744
Water Services,Info Tech Analyst/Prg II,F,3/11/2019,40.98,83497.44,0,75,83572.44,39.18301610541728,0,39.18301610541728
Fire,Account Clerk II,F,8/20/2001,20.55,38157.44,0,2875.2,41032.64,35.70787946846341,0,35.70787946846341
Fire,Firefighter 56hr,F,6/17/2019,17.98,51295.82,9862.58,2198.5,63356.9,54.86418670317447,7.03244345569151,61.896630158865975
Water Services,Electrician*Lead,F,8/31/2015,33.29,68521.9,5905.04,4226.97,78653.90999999999,39.58332370543245,2.2741255940414846,41.857449299473934
Aviation,Video Productions Coordinator,F,11/1/2021,30.34,9708.8,0,75,9783.8,6.153846153846154,0,6.153846153846154
Fire,Fire Engineer 56hr,F,9/10/2007,26.95,77792.37,24790.22,4987.97,107570.56,55.510468103325245,11.793073593073595,67.30354169639884
Police,Crime Scene Shift Supervisor,F,7/26/1999,41.78,85972.8,0,4640.2,90613,39.572117686047804,0,39.572117686047804
Public Works,Solid Waste Equipment Operator,F,8/27/2018,20.69,41522.08,6614.02,180,48316.100000000006,38.59359779901104,4.0983628905330205,42.69196068954406
Aviation,Aviation Dispatcher,F,11/4/2019,20.55,41551.44,915.98,1151.98,43619.40000000001,38.88399775407075,0.5714517437145173,39.45544949778527
Water Services,Senior Utility Operator*SCBA,F,7/2/2007,31.84,65398.4,1091.04,3148.7,69638.14,39.49942017781214,0.43931194433706994,39.93873212214921
Library,Human Resources Officer,F,8/27/2018,37.14,75752.64,2700,2674.08,81126.72,39.224058655399524,0.9320243569031936,40.156083012302716
Street Transportation,Traffic Signal Supervisor,F,8/2/2004,43.92,83001.6,23903.61,6615.5,113520.71,36.34300126103405,6.977607888468545,43.320609149502594
Aviation,Accounting Supervisor,F,9/12/1994,51.02,104979.2,3500,6635.98,115115.18,39.56939963212013,0.879494215440903,40.44889384756103
Public Works,Equipment Services Aide,F,5/14/2001,21.57,36712.47,0,1875,38587.47,32.731063442815874,0,32.731063442815874
Fire,Fire Engineer 56hr,F,8/25/1995,26.95,81277.3,4349,3249.75,88876.05,57.99721706864565,2.068883497454926,60.06610056610057
Police,Crime Scene Specialist III,F,6/21/2004,31.71,65396.8,5479.8,4953.73,75830.33,39.660383766344026,2.2155107585571163,41.87589452490114
Library,Library Assistant,P,3/12/2018,19.37,17370.82,0,299.8,17670.62,17.245959254993842,0,17.245959254993842
Fire,Fire Engineer 56hr,F,9/22/2008,26.95,77784.83,37742.01,7003.18,122530.01999999999,55.50508776937348,17.954431283002712,73.4595190523762
Police,Police Comm Operator,F,9/6/2021,22.64,13289.68,815.04,725,14829.720000000001,11.288461538461538,0.46153846153846156,11.75
Police,Police Officer,F,3/19/2001,37.79,77606.4,48288.48,6167.14,132062.02000000002,39.49274329798278,16.382193091375413,55.87493638935819
Water Services,Senior Utility Operator*SCBA,F,1/10/2000,31.84,63615.36,6435.81,6314.92,76366.09,38.42249710088906,2.591406551990723,41.01390365287978
Water Services,Ops & Maintenance Tech*SCBA,F,2/29/2016,28.31,56664.96,12020.95,2093.1,70779.01000000001,38.492079450044834,5.443827043085256,43.93590649313009
Police,Police Comm Shift Supv*Lead,F,10/30/1995,46.21,90225.6,0,5247.6,95473.20000000001,37.54831621527142,0,37.54831621527142
Water Services,Utility Technician,F,5/22/2017,19.59,38410.43,9055,2253.67,49719.1,37.706080417795576,5.925969555372313,43.63204997316789
Fire,Firefighter 56hr,F,2/12/1990,25.67,74735.55,35656.46,5360.08,115752.09000000001,55.98839561295736,17.808106839271623,73.79650245222899
Police,Police Officer,F,4/26/2004,37.79,77606.4,7592.69,4735.98,89935.06999999999,39.49274329798278,2.575871380978552,42.06861467896133
Police,Police Officer,F,7/17/2006,37.79,77606.4,295.2,3399.46,81301.06,39.49274329798278,0.10014859445925864,39.59289189244203
Police,Police Officer,F,4/20/2020,26.82,53870.4,2863.49,1597.92,58331.81,38.62674238513165,1.3688072429683165,39.995549628099965
Parks and Recreation,Recreation Programmer,F,3/18/2013,23.7,47497.6,1313.52,112.93,48924.049999999996,38.5407335280753,0.7105485232067511,39.251282051282054
Parks and Recreation,Groundskeeper,P,12/13/2021,15.4,1031.8,0,0,1031.8,1.2884615384615385,0,1.2884615384615385
Police,Police Officer,F,7/27/1998,37.79,77606.4,17442.32,5964.36,101013.08,39.49274329798278,5.917424905516993,45.41016820349977
Parks and Recreation,Recreation Instructor,P,4/15/2013,15.55,9425.14,0,107.61,9532.75,11.65612169181301,0,11.65612169181301
Fire,Firefighter 56hr,F,6/17/2019,17.98,51153.68,6277.39,2879.93,60311,54.712158808933005,4.476048886226862,59.18820769515987
Police,Police Officer,F,11/15/1999,37.79,77606.4,2671.04,19577.71,99855.15,39.49274329798278,0.9061683663430157,40.398911664325794
Library,Library Circulation Attnd III,F,8/19/2002,22.97,47262.4,0,173.4,47435.8,39.56866816248619,0,39.56866816248619
Fire,Firefighter 56hr,F,1/7/2013,24.48,70669.3,8265.72,1636.56,80571.58,55.51572712418301,4.3288712921065855,59.84459841628959
Police,Police Sergeant,F,7/18/2005,46.09,92256.4,8092.69,3986.28,104335.37,38.4934158919839,2.251083443207548,40.74449933519145
Planning & Development,Structural Inspector II*Ind/PR,F,2/2/2015,38.33,78938.24,2105.2,898,81941.44,39.604567621264735,0.7041414972539417,40.30870911851868
Police,Secretary II,F,8/14/2017,17.97,36826,352.9,0,37178.9,39.40969992722914,0.2517728978496925,39.66147282507883
Public Works,Equipment Service Wkr II,F,11/21/2016,18.87,37960.8,3608.47,3006.36,44575.630000000005,38.68655986303045,2.4516394222276574,41.13819928525811
Human Services,Management Asst II,F,4/19/1999,46.21,95086.4,0,1275.16,96361.56,39.571188387461916,0,39.571188387461916
Police,Police Officer,F,5/22/2017,31.75,64125.7,3026.4,3508.43,70660.52999999998,38.84052089642641,1.2220472440944883,40.0625681405209
Fire,Firefighter*Recruit (NC),F,8/22/2011,23.5,63993.66,9866.2,1123.05,74982.91,52.367970540098206,5.382542280414621,57.750512820512824
Library,Library Assistant,F,10/12/2015,22.54,45558.4,0,137.4,45695.8,38.86970172684459,0,38.86970172684459
Street Transportation,Street Maint Foreman II,F,2/27/2017,24.89,48897.28,360.32,114,49371.6,37.77952220539605,0.18559611006376775,37.96511831545982
Library,Senior User Technology Spec,F,11/23/2015,39,78790.4,0,0,78790.4,38.85128205128205,0,38.85128205128205
Library,Library Circulation Attnd III,F,12/28/2020,18.42,37899.2,0,137.4,38036.6,39.567359893092785,0,39.567359893092785
Water Services,Utility Technician Trainee(NC),F,11/30/2020,17.69,34819.2,0,0,34819.2,37.85189372526851,0,37.85189372526851
Aviation,Airport Operations Assistant,F,9/6/1999,26.08,53787.2,45411.29,9720.95,108919.43999999999,39.66139688532326,22.323467240836877,61.98486412616014
Police,Police Records Clk*Lead,F,9/18/1989,22.64,46688,46288.46,7043.16,100019.62,39.65751562924708,26.21209341306514,65.86960904231222
Police,Municipal Security Guard,F,6/14/2021,16.24,17425.9,188.04,1875.82,19489.760000000002,20.63506536566882,0.1484463812050019,20.78351174687382
Parks and Recreation,Groundskeeper,F,5/24/2004,18.61,17743.68,0,1225.24,18968.920000000002,18.3355516058364,0,18.3355516058364
Public Works,Solid Waste Equipment Operator,F,7/12/2021,20.69,18900.52,3138.05,96.49,22135.06,17.567498234003793,1.9444857542972573,19.51198398830105
Street Transportation,Equipment Op III*Asphalt,F,1/22/2001,26.72,54894.4,0,1685.18,56579.58,39.50829111008753,0,39.50829111008753
Human Services,Senior Programs Supervisor I,F,10/13/2003,23.58,47392,0,813.56,48205.56,38.65074704769361,0,38.65074704769361
Street Transportation,Human Resources Aide,F,7/31/2006,27.49,56675.2,0,2967.64,59642.84,39.64742423818451,0,39.64742423818451
Public Works,Solid Waste Supervisor,F,7/23/2001,34.2,64210.56,827.81,937.4,65975.76999999999,36.10580296896086,0.31032013795171687,36.41612310691258
Human Services,Caseworker I,F,10/24/2016,21.57,43564.8,0,75,43639.8,38.840269605220925,0,38.840269605220925
Parks and Recreation,Gardener*Sprinkler System,F,10/23/2006,21.58,44224.75,2298.52,1003.92,47527.189999999995,39.410378199187285,1.3655331384710439,40.77591133765833
Parks and Recreation,Parks Foreman I,F,8/15/1994,27.97,57550.4,11397.46,14020.77,82968.63,39.56876873573334,5.224214588891028,44.79298332462437
Planning & Development,Senior Engineering Tech,F,3/23/2020,19.59,37966.4,3479.83,75,41521.23,37.27019279852358,2.277345846258557,39.547538644782136
Human Services,Caseworker I,F,11/23/2015,21.57,44404.8,0,75,44479.8,39.58917299668342,0,39.58917299668342
Library,Librarian II,F,8/23/2021,27.44,19756.8,0,99,19855.8,13.846153846153843,0,13.846153846153843
Fire,Fire Captain 56hr,F,6/30/1997,32.44,97842.79,12194.92,2444.91,112482.62,58.00222303898321,4.819516899048342,62.821739938031556
Public Works,Buyer Aide,F,12/28/2020,20.55,40168,1755.48,0,41923.48,37.58936926820139,1.095189968182669,38.684559236384054
Water Services,Maintenance Planner/Scheduler,F,10/12/2015,31.84,64940.4,0,75,65015.4,39.222796675686126,0,39.222796675686126
Fire,Firefighter*Recruit (NC),F,11/1/2021,23.5,6121.75,0,129.75,6251.5,5.009615384615385,0,5.009615384615385
Fire,Firefighter 56hr,F,9/26/2005,26.11,75847.53,18281.04,5063.71,99192.28000000001,55.86389682703355,8.976342692160388,64.84023951919394
Fire,Firefighter*Recruit (NC),F,11/1/2021,23.5,6121.75,0,204.75,6326.5,5.009615384615385,0,5.009615384615385
Police,Police Sergeant,F,6/28/1999,53.72,110785.6,49221.86,5382.54,165390.00000000003,39.65920155793573,11.747012047272658,51.40621360520839
Public Works,Lead Business Systems Analyst,F,10/4/2010,45.31,89999.04,0,0,89999.04,38.19798652021119,0,38.19798652021119
Police,Police Comm Op*Radio/911,F,6/23/2014,28.75,59573.37,8107.21,1890.14,69570.72,39.848408026755855,3.6152552954292085,43.46366332218506
Police,Police Officer,F,8/15/2005,37.79,77606.4,34194.5,8195.57,119996.47,39.49274329798278,11.600715153242277,51.093458451225054
Planning & Development,Building Code Examiner,F,3/29/2004,40.19,82889.6,15234.98,12443.19,110567.77,39.66237295921298,4.8599217817928935,44.52229474100587
Police,Police Officer,F,5/23/2005,37.79,77606.4,2160.68,2993.82,82760.9,39.49274329798278,0.7330252881986143,40.22576858618139
Parks and Recreation,Groundskeeper,P,12/31/2007,18.61,27702.25,836.9,1762.38,30301.530000000002,28.626307196296448,0.5765441794458452,29.202851375742295
Parks and Recreation,Lifeguard,P,4/19/2021,14.02,6337.97,300.15,0,6638.12,8.69358334247778,0.2744705365960715,8.968053879073851
Fire,Fire Batt Chf*Deputy,F,1/17/2005,63.59,120143.2,0,10744.8,130888,36.33348252628013,0,36.33348252628013
Parks and Recreation,Parks & Recreation Aide*Cash,P,3/12/2018,15.55,10196.58,665.2,134.64,10996.42,12.610165718525847,0.5484376288234809,13.158603347349327
Police,Police Officer,F,2/27/2017,31.75,64960.7,0,1434.46,66395.16,39.34627498485766,0,39.34627498485766
Police,Police Officer,F,9/27/2004,37.79,77606.4,11455.66,6893.05,95955.11,39.49274329798278,3.8864100528562022,43.379153350838976
Aviation,Equipment Op II*U2,F,11/18/2019,17.69,35873.52,1386.97,2561.55,39822.04,38.998043223029086,1.0051818353118522,40.00322505834094
Parks and Recreation,Asst Pool Manager,P,4/21/2008,16.24,5353.98,0,0,5353.98,6.339972527472527,0,6.339972527472527
Library,Courier,F,3/22/2021,17.69,28041.6,0,75,28116.6,30.483976170804883,0,30.483976170804883
Library,Library Circulation Attnd I,F,3/23/2020,16.24,22332.69,0,113.3,22445.989999999998,26.445493084501706,0,26.445493084501706
Aviation,Admin Aide,F,7/16/2007,26.08,53787.2,0,2870.02,56657.219999999994,39.66139688532326,0,39.66139688532326
Water Services,Utility Technician,F,1/4/2016,20.28,40811.6,5581.48,687.14,47080.22,38.700121377636165,3.5284731704850043,42.22859454812117
Water Services,Utility Crew Chief,F,7/2/2007,30.34,57353.6,13528.94,5338.05,76220.59,36.353126109223666,5.716807802173657,42.06993391139732
Police,Police Officer,F,4/21/2008,37.79,77606.4,37520.82,3101.41,118228.63,39.49274329798278,12.729191686852442,52.221934984835215
Public Works,Equipment Op IV,F,8/29/2016,22.4,43398,3005.97,94.5,46498.47,37.25789835164836,1.7204498626373628,38.97834821428572
Water Services,Chief Water Quality Inspector,F,2/2/2015,31.93,63898,0,0,63898,38.484425064443855,0,38.484425064443855
Planning & Development,Project Manager,F,1/18/2016,39,78148.48,0,75,78223.48,38.53475345167653,0,38.53475345167653
Aviation,Airport Operations Assistant,F,10/13/2014,24.92,50676.8,12136.58,1279.7,64093.08,39.10729719718484,6.243867555665308,45.35116475285015
Fire,Fire Captain*40hr,F,9/18/2000,53.48,99933.12,70162.56,4744.27,174839.94999999998,35.93475634313331,16.81974569932685,52.75450204246016
Municipal Court,Senior Info Tech Systems Spec,F,5/16/1994,53.7,110497.6,0,9651,120148.6,39.570835123907756,0,39.570835123907756
Fire,Fire Engineer 56hr,F,1/2/2006,26.95,62209.06,3367.03,4987.8,70563.89,44.39065220493792,1.601745873174445,45.992398078112366
Street Transportation,Equipment Op IV,F,11/18/2019,27.8,57380.48,1542.35,112.36,59035.19,39.69319313779746,0.7112848182992066,40.40447795609666
Police,Police Officer,F,7/7/2014,37.79,77606.4,2382.96,2335.7,82325.06,39.49274329798278,0.808435279988601,40.30117857797138
Library,Account Clerk II,F,4/19/2021,18.74,26104,3851.58,79.67,30035.25,26.787620064034154,2.6349642886462523,29.422584352680406
Municipal Court,Account Clerk III,F,1/14/2019,20.55,40545.92,0,75,40620.92,37.94302826127643,0,37.94302826127643
Library,Library Assistant,P,3/22/2021,17.57,18682.41,0,176.4,18858.81,20.448327568845496,0,20.448327568845496
Fire,Firefighter 56hr,F,2/8/2021,17.21,41647.03,1313.52,173.02,43133.56999999999,46.53715415903097,0.978500871586287,47.51565503061725
Police,Police Officer,F,5/22/2017,31.75,64142.4,2337.62,3382.52,69862.54000000001,38.85063597819504,0.9439208560468403,39.794556834241874
Street Transportation,Street Maint Worker,F,7/1/2019,18.47,35493.54,497.73,18,36009.270000000004,36.95549956270043,0.34548748490275294,37.300987047603186
Police,Police Officer,F,5/29/2000,37.79,77606.4,295.2,5243.04,83144.63999999998,39.49274329798278,0.10014859445925864,39.59289189244203
Water Services,Ops & Maintenance Tech*SCBA,F,1/27/2020,24.02,47468.88,8058.52,1262.15,56789.549999999996,38.004291295715106,4.301180640064903,42.305471935780005
Library,Library Circulation Attnd I,F,7/9/2001,17.97,37064,0,98.2,37162.2,39.664397928170885,0,39.664397928170885
Police,Police Officer,F,12/17/2007,37.79,77606.4,9455.31,5432.5,92494.20999999999,39.49274329798278,3.2077778003948945,42.70052109837767
Fire,Firefighter 56hr,F,2/8/2021,17.21,42655.73,2509.69,248.02,45413.44,47.6642940151075,1.869582383527764,49.533876398635265
Public Works,Solid Waste Equipment Operator,F,7/12/2021,20.69,18762,2895.8,10.69,21668.489999999998,17.43874781574153,1.7943760766380388,19.233123892379567
Public Works,Solid Waste Equipment Operator,F,10/7/2019,25.73,52806.73,11846.31,87.72,64740.76,39.468093216538605,5.902672725642022,45.370765942180626
Police,Police Sergeant,F,7/19/1996,48.4,97636.8,823,20784.93,119244.73000000001,38.79402415766052,0.21800169527442256,39.01202585293495
Parks and Recreation,Recreation Instructor,P,9/23/2019,15.55,3410.73,34.45,18.5,3463.68,4.218068266139006,0.02840300107181136,4.246471267210817
Parks and Recreation,Groundskeeper,F,10/9/2006,18.61,38227.2,21906.53,329.58,60463.31,39.502335386268754,15.091507185273977,54.59384257154273
Water Services,Secretary III,F,9/15/2014,25.37,52209.6,1007.23,75,53291.83,39.57551317425184,0.5089950779741872,40.08450825222602
Water Services,Senior Water Quality Inspector,F,4/30/2001,30.6,62852.8,174.91,98.75,63126.46000000001,39.50025138260432,0.07328221887045415,39.57353360147477
Parks and Recreation,Recreation Instructor,P,7/16/2018,15.55,16766.23,19.14,2.9,16788.27,20.734887459807073,0.015780361117981697,20.750667820925056
Street Transportation,Senior Human Resources Analyst,F,5/22/2006,35.28,71333.6,2500,882,74715.6,38.883219954648524,0.9084830513401941,39.791703005988715
Human Services,Customer Service Clerk,F,9/13/2004,18.74,33821.89,562.48,22.16,34406.530000000006,34.70762868401609,0.3848069397695865,35.09243562378568
Fire,Fire Engineer 56hr,F,4/11/2005,26.95,77805.61,5630.6,5355.09,88791.3,55.51991579848723,2.678559535702393,58.198475334189624
Street Transportation,Contracts Specialist II,F,10/10/2005,41.78,85972.8,0,2075.44,88048.24,39.572117686047804,0,39.572117686047804
Water Services,Senior Water Quality Inspector,F,7/27/2020,26.13,51165.92,0,91.8,51257.72,37.656333716035206,0,37.656333716035206
Police,Lead Info Tech Systems Spec,F,2/8/2010,59.3,122022.4,0,5419.08,127441.48,39.57141004021274,0,39.57141004021274
Street Transportation,Street Maint Foreman II,F,6/20/2016,24.89,49368.88,1899.61,75,51343.49,38.143894675031675,0.9784642169133932,39.12235889194507
Public Works,Equipment Service Wkr II,F,1/21/2002,23.05,47339.2,0,6680.2,54019.399999999994,39.49541131319873,0,39.49541131319873
Public Works,Solid Waste Equipment Operator,F,8/15/2016,22.4,45754.8,7289.75,18.9,53063.450000000004,39.28125000000001,4.172247023809525,43.45349702380953
Police,Police Officer,F,1/1/2018,30.04,61699.2,2459.78,7181.8,71340.78,39.498105090648366,1.0497883164327904,40.547893407081155
Police,Police Comm Op*Radio/911,F,4/23/2018,23.7,48753.34,540.91,869.85,50164.1,39.559672184355726,0.2926052147571135,39.85227739911284
Municipal Court,Court/Legal Clerk III,F,11/19/2007,24.04,49566.16,0,1575.2,51141.36,39.65039037501601,0,39.65039037501601
Public Works,Solid Waste Equipment Operator,F,8/1/2016,22.4,45830.8,9388.65,25.09,55244.54,39.346497252747255,5.373540521978023,44.72003777472528
Public Works,Solid Waste Environ Spec,F,7/8/2002,28.75,58394.64,3119.08,2306.6,63820.32,39.05995986622074,1.3908940914158305,40.45085395763657
Street Transportation,Senior Human Resources Analyst,F,1/25/2021,33.55,63772.8,0,75,63847.8,36.55439642324889,0,36.55439642324889
Police,Police Officer,F,5/6/2019,28.41,57086.9,3912.73,2981.74,63981.37,38.64220344948962,1.765688318486629,40.40789176797625
Fire,Casework Services Coordinator,F,11/19/2007,41.78,83876.16,0,75,83951.16,38.607062635784516,0,38.607062635784516
Police,Police Officer,F,6/2/2008,37.79,77606.4,8247.62,7277.36,93131.37999999999,39.49274329798278,2.7980608083809995,42.29080410636378
Planning & Development,Const Permit Spec II,F,2/13/2006,38.33,79054.4,29788.4,5017.74,113860.54,39.662846936522904,9.963541980239086,49.62638891676199
Aviation,Aviation Dispatcher,F,11/19/2018,20.55,41292.95,2685.1,1221.65,45199.7,38.642101815459476,1.6751512882899744,40.31725310374945
Street Transportation,Chief Engineering Tech,F,9/17/2001,33.25,68577.6,0,0,68577.6,39.66315789473685,0,39.66315789473685
Human Services,Secretary II,F,5/3/2021,16.24,21926.47,0,75,22001.47,25.964463338385755,0,25.964463338385755
Fire,Fire Emergency Dispatcher,F,10/21/2019,23.7,48041.6,17521.26,2737.93,68300.79,38.98214865303473,9.478123985718922,48.46027263875365
Parks and Recreation,Recreation Instructor,P,5/31/2021,15.55,13832.31,277.75,550.85,14660.91,17.10649270343804,0.2289966196718608,17.3354893231099
Police,Admin Aide,F,5/29/2000,26.08,53787.2,5276.65,6146.05,65209.9,39.66139688532326,2.593917138587384,42.25531402391065
Police,Police Comm Op*Radio/911,F,10/10/1994,33.25,65139.2,14887.82,7050.15,87077.16999999998,37.6744939271255,5.740435704646231,43.414929631771734
Police,Police Property Technician,F,7/1/1991,24.92,51396.8,1225.17,7981.2,60603.17,39.66292134831461,0.6303092974441289,40.29323064575874
Human Services,Secretary III,F,12/5/2016,23.58,47516.32,1220.28,0,48736.6,38.75213675213676,0.6634696940040452,39.4156064461408
Police,Police Comm Op*Radio/911,F,7/7/2003,31.71,63660.8,32061.24,1958.83,97680.87000000001,38.607573442010526,12.962520922785824,51.57009436479635
Street Transportation,Equipment Op III*Lead Striper,F,8/9/1999,26.72,54894.4,0,1820,56714.4,39.50829111008753,0,39.50829111008753
Public Works,Heavy Equip Mech,F,5/18/2009,30.6,62852.8,2406.89,3547.46,68807.15000000001,39.50025138260432,1.0084171275347744,40.508668510139096
Police,Police Officer,F,1/30/1995,37.79,77606.4,70513.21,12817.26,160936.87,39.49274329798278,23.92208290078097,63.41482619876375
Police,Police Officer,F,2/24/2020,26.82,54345.6,2158.67,2546.47,59050.74,38.96747547754259,1.0318887550431173,39.99936423258571
Police,Police Officer,F,6/18/2018,30.04,59548.6,2292.8,2280.45,64121.85,38.12135101915395,0.9785243606814846,39.09987537983543
Fire,Firefighter*Recruit (NC),F,11/1/2021,23.5,7061.75,0,129.75,7191.5,5.778846153846154,0,5.778846153846154
